m,water,Na+,Cl-,
0.0,0.999999999999,0.999999999999,0.999999999999,
0.01,1.00001189094,0.901835176592,0.899601787403,
0.02,1.00003141614,0.870302960707,0.865853080859,
0.03,1.00005479593,0.849028867447,0.842379341169,
0.04,1.00008076531,0.832856859973,0.824022516317,
0.05,1.00010862672,0.819834856787,0.808828718304,
0.06,1.00013792863,0.808982018965,0.795815577371,
0.07,1.00016835187,0.799726705521,0.784410153433,
0.08,1.00019965774,0.791703130136,0.774245546295,
0.09,1.00023166052,0.784661559165,0.765071056498,
0.1,1.00026421136,0.778423145401,0.756706990678,
0.11,1.00029718821,0.772855007309,0.749019719138,
0.12,1.0003304892,0.767855485911,0.741906916009,
0.13,1.00036402796,0.763344933509,0.735288334904,
0.14,1.00039773041,0.759259699909,0.729099784776,
0.15,1.0004315323,0.755548061309,0.723289050484,
0.16,1.00046537745,0.752167379226,0.717813044951,
0.17,1.0004992163,0.749082065783,0.712635768895,
0.18,1.00053300485,0.746262093604,0.707726816098,
0.19,1.00056670384,0.743681883074,0.703060256803,
0.2,1.00060027798,0.741319457067,0.698613789178,
0.21,1.00063369546,0.739155789018,0.694368084601,
0.22,1.00066692745,0.737174293247,0.690306275608,
0.23,1.00069994775,0.735360421618,0.6864135505,
0.24,1.00073273242,0.73370134082,0.682676828836,
0.25,1.00076525956,0.732185671544,0.679084499061,
0.26,1.00079750905,0.730803275768,0.675626204432,
0.27,1.00082946238,0.729545081817,0.672292666881,
0.28,1.00086110245,0.728402939377,0.669075540966,
0.29,1.00089241346,0.727369498485,0.665967291923,
0.3,1.00092338074,0.726438107857,0.66296109316,
0.31,1.0009539907,0.725602728955,0.660050739575,
0.32,1.00098423067,0.724857862926,0.65723057382,
0.33,1.00101408885,0.724198488174,0.654495423274,
0.34,1.00104355423,0.723620006732,0.651840545867,
0.35,1.00107261651,0.723118198008,0.649261583339,
0.36,1.00110126608,0.722689178679,0.646754520679,
0.37,1.00112949389,0.722329367809,0.644315650841,
0.38,1.00115729149,0.722035456371,0.641941543896,
0.39,1.00118465093,0.721804380525,0.639629019972,
0.4,1.00121156474,0.72163329811,0.637375125434,
0.41,1.00123802588,0.721519567893,0.635177111851,
0.42,1.00126402774,0.721460731202,0.633032417365,
0.43,1.00128956408,0.7214544956,0.630938650132,
0.44,1.00131462901,0.721498720365,0.628893573569,
0.45,1.001339217,0.72159140351,0.626895093182,
0.46,1.0013633228,0.72173067017,0.624941244753,
0.47,1.00138694146,0.72191476218,0.623030183751,
0.48,1.0014100683,0.722142028698,0.621160175784,
0.49,1.00143269889,0.722410917753,0.619329588003,
0.5,1.00145482905,0.722719968673,0.617536881396,
0.51,1.00147645483,0.723067804928,0.615780603458,
0.52,1.00149757246,0.723453128215,0.614059382216,
0.53,1.0015181784,0.723874712529,0.612371920147,
0.54,1.00153826929,0.724331399034,0.610716988949,
0.55,1.00155784195,0.724822091325,0.609093424705,
0.56,1.00157689335,0.725345751112,0.607500123472,
0.57,1.00159542063,0.725901394261,0.605936037235,
0.58,1.00161342109,0.726488087173,0.604400170203,
0.59,1.00163089216,0.727104943452,0.602891575399,
0.6,1.00164783141,0.72775112085,0.601409351533,
0.61,1.00166423653,0.728425818453,0.599952640116,
0.62,1.00168010534,0.729128274084,0.598520622803,
0.63,1.00169543578,0.729857761909,0.597112518935,
0.64,1.00171022588,0.730613590227,0.595727583271,
0.65,1.00172447379,0.731395099418,0.594365103881,
0.66,1.00173817777,0.732201660051,0.593024400205,
0.67,1.00175133614,0.733032671123,0.59170482124,
0.68,1.00176394735,0.733887558424,0.590405743861,
0.69,1.00177600991,0.734765773026,0.589126571264,
0.7,1.00178752243,0.735666789862,0.587866731506,
0.71,1.00179848358,0.736590106419,0.586625676155,
0.72,1.00180889211,0.737535241506,0.585402879028,
0.73,1.00181874686,0.738501734111,0.584197834999,
0.74,1.00182804672,0.739489142338,0.583010058914,
0.75,1.00183679065,0.740497042397,0.581839084547,
0.76,1.00184497769,0.741525027679,0.580684463639,
0.77,1.0018526069,0.742572707875,0.579545764989,
0.78,1.00185967745,0.743639708154,0.57842257361,
0.79,1.00186618852,0.7447256684,0.577314489934,
0.8,1.00187213937,0.745830242481,0.576221129055,
0.81,1.00187752931,0.746953097574,0.575142120033,
0.82,1.00188235769,0.748093913524,0.57407710523,
0.83,1.00188662391,0.749252382248,0.573025739685,
0.84,1.00189032742,0.75042820716,0.571987690531,
0.85,1.00189346772,0.751621102648,0.570962636438,
0.86,1.00189604432,0.752830793563,0.56995026709,
0.87,1.00189805681,0.754057014747,0.568950282693,
0.88,1.00189950481,0.755299510587,0.567962393512,
0.89,1.00190038795,0.75655803459,0.566986319428,
0.9,1.00190070593,0.757832348981,0.566021789518,
0.91,1.00190045847,0.759122224326,0.565068541666,
0.92,1.00189964533,0.760427439175,0.56412632219,
0.93,1.00189826629,0.761747779719,0.563194885482,
0.94,1.00189632117,0.76308303947,0.562273993676,
0.95,1.00189380983,0.764433018957,0.56136341633,
0.96,1.00189073214,0.765797525436,0.560462930127,
0.97,1.00188708801,0.767176372614,0.559572318579,
0.98,1.00188287738,0.768569380388,0.558691371762,
0.99,1.0018781002,0.769976374599,0.557819886051,
