m,watermolal,watermolar,na+molal,na+molar,cl-molal,cl-molar,molefrac ion,,,
2.15,0.9257461,0.997597445,0.932627426,1.005012862,0.456769562,0.492221515,0.036012194,2.005148966,0.982054557,1.96916568
2.2,0.923880032,0.997254137,0.943016728,1.01791066,0.454192349,0.490264086,0.036788067,2.074636802,0.999223168,2.073025158
2.25,0.922008785,0.996898492,0.953570126,1.031023387,0.451660821,0.488346748,0.03756135,2.145532784,1.016236848,2.180369474
2.3,0.920132478,0.996530611,0.964286874,1.044351125,0.449172856,0.486467451,0.038332056,2.217859811,1.033097569,2.29126558
2.35,0.918251229,0.996150596,0.975166355,1.057894088,0.446726475,0.484624285,0.039100196,2.291640933,1.049807217,2.40578119
2.4,0.916365156,0.995758549,0.986208068,1.071652614,0.444319831,0.482815466,0.039865785,2.366899363,1.066367594,2.523984779
2.45,0.914474378,0.995354571,0.997411624,1.085627157,0.441951196,0.481039331,0.040628835,2.443658478,1.08278043,2.645945577
2.5,0.912579011,0.994938765,1.00877673,1.099818274,0.439618953,0.479294322,0.041389358,2.521941825,1.099047383,2.771733562
2.55,0.910679172,0.994511232,1.020303187,1.114226624,0.437321587,0.477578981,0.042147367,2.601773127,1.115170048,2.901419463
2.6,0.908774976,0.994072075,1.03199088,1.128852953,0.435057677,0.475891941,0.042902874,2.683176288,1.131149959,3.035074748
2.65,0.906866538,0.993621397,1.043839771,1.143698094,0.432825885,0.474231921,0.043655893,2.766175394,1.146988595,3.172771629
2.7,0.904953973,0.993159298,1.055849897,1.158762959,0.430624956,0.472597715,0.044406434,2.850794722,1.162687382,3.314583051
2.75,0.903037393,0.992685883,1.068021359,1.174048533,0.428453708,0.47098819,0.045154511,2.937058737,1.178247697,3.460582693
2.8,0.901116911,0.992201253,1.080354322,1.189555871,0.426311026,0.469402282,0.045900134,3.024992102,1.193670873,3.610844964
2.85,0.899192639,0.991705509,1.092849009,1.205286094,0.42419586,0.467838985,0.046643318,3.114619677,1.208958201,3.765445001
2.9,0.897264687,0.991198754,1.105505698,1.221240383,0.422107217,0.466297352,0.047384072,3.205966523,1.22411093,3.924458663
2.95,0.895333165,0.990681089,1.118324714,1.237419978,0.420044161,0.464776491,0.04812241,3.299057906,1.239130275,4.08796253
3,0.893398183,0.990152616,1.131306433,1.253826172,0.418005805,0.463275557,0.048858343,3.393919299,1.254017414,4.256033901
