m,water,Na+,Cl-,solubility (molal)
0.0,1.0,1.0,1.0,6.28569805193
0.01,0.999651671843,0.901629779604,0.899403687477,6.98010666454
0.02,0.999311194753,0.869822307943,0.865388509394,7.2449047792
0.03,0.998974800515,0.848272057997,0.841648881725,7.43910106071
0.04,0.998641226655,0.831826146402,0.823029905994,7.59677778801
0.05,0.9983097766,0.818532962635,0.807578163689,7.73113299814
0.06,0.997979999234,0.807411576327,0.794311191295,7.84893419799
0.07,0.99765157561,0.797890113768,0.782655813337,7.95420107102
0.08,0.997324267151,0.789602530254,0.77224486848,8.04955243266
0.09,0.996997888202,0.782298843842,0.762827406266,8.13680722283
0.1,0.996672289987,0.775799979663,0.754223503113,8.21728977099
0.11,0.996347350544,0.769972851027,0.746299321792,8.29199984264
0.12,0.996022968061,0.764715615112,0.73895235042,8.36171417645
0.13,0.995699056291,0.759948459554,0.732102175991,8.42705050019
0.14,0.99537554126,0.755607586377,0.725684457948,8.48850969664
0.15,0.995052358862,0.751641138743,0.719646846599,8.54650459709
0.16,0.994729453043,0.74800635797,0.713946133367,8.6013802471
0.17,0.99440677442,0.744667547172,0.708546208866,8.65342854203
0.18,0.994084279179,0.741594579736,0.703416566743,8.70289903397
0.19,0.993761928232,0.738761785375,0.698531185863,8.75000706703
0.2,0.993439686514,0.736147103823,0.693867680726,8.79494000677
0.21,0.993117522425,0.733731432018,0.689406645864,8.83786208249
0.22,0.992795407371,0.731498113678,0.685131143026,8.87891820225
0.23,0.992473315372,0.729432535301,0.681026295115,8.91823699508
0.24,0.992151222751,0.727521802883,0.67707896112,8.9559332635
0.25,0.991829107863,0.72575448061,0.673277473254,8.99210998031
0.26,0.991506950855,0.724120377715,0.669611422429,9.02685992919
0.27,0.991184733486,0.722610373169,0.666071481763,9.06026706362
0.28,0.990862438943,0.721216270369,0.662649260183,9.09240764134
0.29,0.990540051702,0.71993067584,0.659337180198,9.1233511778
0.3,0.990217557402,0.718746897312,0.65612837513,9.15316125288
