x,water,ethanol,
0.0,1.0,1.53356617871,
0.01,0.999985951385,1.53894053954,
0.02,0.999996100067,1.53823518282,
0.03,1.00009819826,1.53228966502,
0.04,1.00034616266,1.52195390987,
0.05,1.00078131937,1.50803816394,
0.06,1.00143409977,1.49128267926,
0.07,1.00232584158,1.47234279156,
0.08,1.00347049013,1.45178484137,
0.09,1.00487609861,1.43008903208,
0.1,1.00654609278,1.40765624974,
0.11,1.00848030445,1.38481676505,
0.12,1.01067579672,1.36183946818,
0.13,1.01312751153,1.33894082618,
0.14,1.01582877043,1.31629312445,
0.15,1.01877165673,1.29403179512,
0.16,1.02194730361,1.27226178311,
0.17,1.02534610796,1.25106298535,
0.18,1.02895788653,1.23049484253,
0.19,1.03277198721,1.21060018082,
0.2,1.03677736558,1.19140840432,
0.21,1.04096263484,1.17293813425,
0.22,1.04531609512,1.15519938169,
0.23,1.04982574723,1.13819533028,
0.24,1.05447929428,1.12192379465,
0.25,1.05926413441,1.1063784104,
0.26,1.06416734658,1.09154960254,
0.27,1.06917567146,1.07742537152,
0.28,1.07427548875,1.06399192923,
0.29,1.07945279205,1.05123421193,
0.3,1.08469316229,1.03913629196,
0.31,1.08998174058,1.02768170671,
0.32,1.09530320104,1.01685371944,
0.33,1.10064172443,1.00663552449,
0.34,1.10598097303,0.997010406604,
0.35,1.11130406758,0.987961862865,
0.36,1.11659356651,0.979473693709,
0.37,1.12183144851,0.971530068696,
0.38,1.12699909865,0.964115571416,
0.39,1.13207729899,0.957215227282,
0.4,1.13704622424,0.950814517119,
0.41,1.14188544314,0.944899379086,
0.42,1.14657392654,0.939456200855,
0.43,1.15109006269,0.934471803709,
0.44,1.15541168079,0.929933419882,
0.45,1.15951608351,0.925828664217,
0.46,1.16338008943,0.922145501067,
0.47,1.16698008616,0.918872207143,
0.48,1.17029209499,0.915997330981,
0.49,1.17329184789,0.913509649529,
0.5,1.1759548775,0.911398122379,
0.51,1.17825662064,0.909651844041,
0.52,1.18017253595,0.908259994731,
0.53,1.18167823572,0.907211790062,
0.54,1.18274963204,0.906496430115,
0.55,1.18336309704,0.906103048324,
0.56,1.1834956365,0.906020660737,
0.57,1.18312507607,0.906238116154,
0.58,1.18223025868,0.906744047822,
0.59,1.18079125127,0.907526827312,
0.6,1.17878955873,0.908574521347,
0.61,1.17620834226,0.909874852343,
0.62,1.17303263882,0.911415163518,
0.63,1.16924957826,0.913182389409,
0.64,1.16484859378,0.915163032695,
0.65,1.15982162153,0.917343148186,
0.66,1.15416328454,0.919708334795,
0.67,1.14787105632,0.922243736279,
0.68,1.14094539935,0.924934051383,
0.69,1.13338987384,0.927763553919,
0.7,1.12521121265,0.930716123129,
0.71,1.11641935877,0.933775284452,
0.72,1.10702746222,0.936924260615,
0.73,1.0970518347,0.940146032682,
0.74,1.08651186065,0.943423410441,
0.75,1.07542986512,0.946739111209,
0.76,1.06383093967,0.950075845916,
0.77,1.05174272882,0.953416411037,
0.78,1.03919518082,0.956743784767,
0.79,1.02622026726,0.960041225667,
0.8,1.01285167744,0.963292371879,
0.81,0.999124493398,0.966481338986,
0.82,0.985074852632,0.969592814621,
0.83,0.97073960533,0.972612147968,
0.84,0.956155973003,0.975525432492,
0.85,0.941361215138,0.978319580406,
0.86,0.926392309953,0.980982387634,
0.87,0.911285654643,0.983502588313,
0.88,0.896076789653,0.985869898144,
0.89,0.880800150608,0.988075046246,
0.9,0.865488850519,0.990109795432,
0.91,0.85017449392,0.991966951095,
0.92,0.834887023641,0.993640359189,
0.93,0.819654600056,0.995124893938,
0.94,0.804503511891,0.996416436153,
0.95,0.78945811701,0.997511843105,
0.96,0.774540811095,0.998408911045,
0.97,0.759772021751,0.999106331486,
0.98,0.745170225289,0.999603642388,
0.99,0.730751983312,0.999901175368,
1.0,0.716531996183,1.0,
