x,water,ethanol_2,
0.0,1.0,3.73336343272,
0.01,1.00017879177,3.60215962488,
0.02,1.0007008619,3.48061566522,
0.03,1.00154857539,3.36745206172,
0.04,1.00270861238,3.26161571077,
0.05,1.00417112333,3.16223653248,
0.06,1.00592902496,3.06859275814,
0.07,1.00797741758,2.98008302168,
0.08,1.01031310659,2.89620384619,
0.09,1.01293421286,2.81653143777,
0.1,1.01583985841,2.74070693854,
0.11,1.01902991543,2.66842446984,
0.12,1.02250480812,2.59942143371,
0.13,1.0262653583,2.53347064628,
0.14,1.03031266699,2.47037395927,
0.15,1.03464802518,2.40995709106,
0.16,1.0392728482,2.35206544083,
0.17,1.04418862902,2.29656070138,
0.18,1.04939690637,2.24331812006,
0.19,1.05489924467,2.192224285,
0.2,1.06069722285,2.14317533656,
0.21,1.06679243015,2.09607552214,
0.22,1.07318646696,2.05083602812,
0.23,1.07988094955,2.00737403472,
0.24,1.08687751732,1.96561194993,
0.25,1.09417784199,1.92547678721,
0.26,1.10178363789,1.88689965799,
0.27,1.10969667294,1.84981535613,
0.28,1.11791877994,1.81416201556,
0.29,1.12645186776,1.77988082627,
0.3,1.13529793255,1.74691579669,
0.31,1.14445906843,1.71521355298,
0.32,1.15393747792,1.6847231676,
0.33,1.16373548189,1.65539601123,
0.34,1.17385552901,1.62718562313,
0.35,1.18430020477,1.60004759644,
0.36,1.19507224004,1.57393947523,
0.37,1.20617451926,1.54882066115,
0.38,1.21761008813,1.52465232778,
0.39,1.22938216106,1.50139734137,
0.4,1.24149412832,1.47902018683,
0.41,1.25394956283,1.4574868981,
0.42,1.26675222684,1.43676499236,
0.43,1.27990607841,1.41682340743,
0.44,1.29341527771,1.39763244217,
0.45,1.30728419335,1.37916369938,
0.46,1.32151740852,1.36139003115,
0.47,1.33611972726,1.3442854864,
0.48,1.35109618067,1.32782526045,
0.49,1.36645203319,1.3119856466,
0.5,1.38219278906,1.29674398959,
0.51,1.39832419878,1.28207864083,
0.52,1.41485226586,1.26796891538,
0.53,1.43178325367,1.25439505069,
0.54,1.44912369252,1.24133816688,
0.55,1.46688038705,1.22878022869,
0.56,1.48506042382,1.21670400899,
0.57,1.50367117919,1.20509305375,
0.58,1.52272032764,1.19393164855,
0.59,1.54221585028,1.18320478644,
0.6,1.56216604384,1.17289813727,
0.61,1.58257953007,1.16299801831,
0.62,1.60346526547,1.15349136618,
0.63,1.6248325516,1.14436571009,
0.64,1.64669104575,1.13560914622,
0.65,1.66905077223,1.12721031332,
0.66,1.69192213411,1.11915836947,
0.67,1.71531592557,1.11144296988,
0.68,1.73924334483,1.10405424579,
0.69,1.76371600773,1.09698278434,
0.7,1.78874596193,1.09021960943,
0.71,1.81434570188,1.08375616358,
0.72,1.84052818441,1.07758429055,
0.73,1.86730684521,1.07169621895,
0.74,1.89469561603,1.06608454662,
0.75,1.92270894279,1.06074222582,
0.76,1.95136180457,1.05566254914,
0.77,1.9806697335,1.0508391362,
0.78,2.01064883572,1.04626592104,
0.79,2.04131581333,1.04193714009,
0.8,2.07268798746,1.03784732093,
0.81,2.10478332251,1.03399127151,
0.82,2.13762045157,1.03036407011,
0.83,2.17121870322,1.02696105572,
0.84,2.20559812955,1.02377781908,
0.85,2.24077953574,1.02081019417,
0.86,2.27678451111,1.01805425024,
0.87,2.3136354617,1.01550628429,
0.88,2.35135564467,1.01316281402,
0.89,2.38996920434,1.01102057126,
0.9,2.42950121021,1.00907649576,
0.91,2.46997769689,1.00732772949,
0.92,2.51142570624,1.0057716112,
0.93,2.55387333161,1.00440567155,
0.94,2.5973497645,1.00322762842,
0.95,2.64188534371,1.00223538274,
0.96,2.68751160714,1.00142701458,
0.97,2.73426134633,1.00080077963,
0.98,2.78216866401,1.00035510598,
0.99,2.83126903478,1.00008859124,
1.0,2.88159936913,1.0,
